eis facility id,company name,site name,primary naics code,site latitude,site longitude,address,city,zip code,eis unit id,unit type,unit description,process description,scc
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648613,Unclassified,IC ENGINES,IC ENGINE PO 22353,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648713,Unclassified,IC ENGINES,IC ENGINE PO 22354,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648813,Unclassified,IC ENGINES,IC ENGINE PO 22355,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118648913,Unclassified,IC ENGINES,IC ENGINE PO 22356,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118649113,Unclassified,IC ENGINES,IC ENGINE PO 22358,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118649213,Unclassified,IC ENGINES,IC ENGINE PO 22359,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118649313,Unclassified,IC ENGINES,IC ENGINE PO 22360,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118649513,Unclassified,IC ENGINES,IC ENGINE PO 22362,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118649613,Unclassified,IC ENGINES,IC ENGINE PO 22363,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100314213,Unclassified,IC ENGINES,IC ENGINE PO 19409,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100314313,Unclassified,IC ENGINES,IC ENGINE PO 19410,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100314413,Unclassified,IC ENGINES,IC ENGINE PO 20279,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100314513,Unclassified,IC ENGINES,IC ENGINE PO 20280,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313013,Unclassified,IC ENGINES,IC ENGINE PO 15495,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313213,Unclassified,IC ENGINES,IC ENGINE PO 20284,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313313,Unclassified,IC ENGINES,IC ENGINE PO 20285,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313413,Unclassified,IC ENGINES,IC ENGINE PO 20286,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313513,Unclassified,IC ENGINES,IC ENGINE PO 20287,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313613,Unclassified,IC ENGINES,IC ENGINE PO 20288,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313813,Unclassified,IC ENGINES,IC ENGINE PO 21366,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,118647513,Unclassified,IC ENGINES,IC ENGINE PO 21368,20100102
15701511,RAGING WIRE,RAGING WIRE DATA CENTER,541513,38.65041,-121.48935,1200 STRIKER AVENUE,SACRAMENTO,95834,100313913,Unclassified,IC ENGINES,IC ENGINE PO 15963,20100102
