left_source,left_source_id,left_name,left_address,right_source,right_source_id,right_name,right_address,score,note,distance_m,distance,name,address,operator,codes
peeringdb,16184,Hurricane Electric San Jose 1,55 S. Market Street,epa_nei,15968711,CORESITE,55 SO MARKET STREET,0.606,,34.6,1.0,0.0,1.0,0.231,[]|[]
osm,way/209073658,Csquare SFO4,1500 Space Park Drive,epa_nei,19650011,"CYXTERA COMMUNICATIONS, LLC",1500 SPACE PARK DRIVE,0.605,,94.4,0.963,0.0,1.0,0.286,['sfo4']|[]
osm,node/10780794741,Ntirety,630 3rd Street,epa_nei,15756211,HOSTING COM,630 3RD STREET,0.604,,14.2,1.0,0.0,1.0,0.222,[]|[]
peeringdb,981,QuadraNet DTLA,530 West 6th Street,peeringdb,3424,LADC4 - 530 W 6th St,530 W 6th St,0.604,,0.0,1.0,0.0,1.0,0.222,[]|['ladc4']
peeringdb,1698,Sungard AS Sacramento,11085 Sun Center Drive,peeringdb,16130,365 Data Centers Rancho Cordova (CA1),11085 Sun Center Drive,0.604,,2.1,1.0,0.0,1.0,0.222,[]|['ca1']
peeringdb,3344,CoreSite - Santa Clara (SV7),3020 Coronado Drive,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.604,,336.9,0.705,0.167,0.564,1.0,['sv7']|[]
osm,way/209073641,Digital Realty Silicon Valley SJC10,1100 Space Park Drive,epa_nei,16069311,TATA COMMUNICATIONS [AMERICA] INC,1100 SPACE PARK DRIVE,0.603,,54.8,1.0,0.0,1.0,0.213,['sjc10']|[]
peeringdb,3131,Digital Realty SJC (1100 Space Park),1100 Space Park,epa_nei,16069311,TATA COMMUNICATIONS [AMERICA] INC,1100 SPACE PARK DRIVE,0.603,,55.6,1.0,0.0,1.0,0.213,[]|[]
peeringdb,2783,Multacom Telecom Center,530 W 6th Street,peeringdb,7263,TurnKey Internet - CA,530 W. 6th Street,0.601,,13.9,1.0,0.0,1.0,0.207,[]|[]
peeringdb,2783,Multacom Telecom Center,530 W 6th Street,peeringdb,6426,ColoCrossing LA1,530 W. 6th Street,0.6,,13.9,1.0,0.0,1.0,0.2,[]|['la1']
peeringdb,981,QuadraNet DTLA,530 West 6th Street,peeringdb,6426,ColoCrossing LA1,530 W. 6th Street,0.598,,13.9,1.0,0.0,1.0,0.19,[]|['la1']
osm,node/10780794741,Ntirety,630 3rd Street,peeringdb,767,TelePacific,630 3rd Street,0.596,,26.9,1.0,0.0,1.0,0.182,[]|[]
peeringdb,6426,ColoCrossing LA1,530 W. 6th Street,peeringdb,7263,TurnKey Internet - CA,530 W. 6th Street,0.596,,0.0,1.0,0.0,1.0,0.182,['la1']|[]
osm,way/209076412,Digital Realty Silicon Valley SJC11,3011 Lafayette Street,epa_nei,13771711,3011 LAFAYETTE,3011 LAFAYETTE STREET,0.594,,128.1,0.928,0.0,1.0,0.293,['sjc11']|[]
peeringdb,2,Digital Realty SFO (200 Paul),200 Paul Ave,peeringdb,5326,Wave Data Centers San Francisco,200 Paul Ave,0.593,,34.4,1.0,0.0,1.0,0.167,[]|[]
peeringdb,1003,XO 818 West 7th,818 West 7th Street,peeringdb,1096,Level(3) Los Angeles,818 W 7th St,0.592,,12.2,1.0,0.0,1.0,0.16,[]|[]
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,3424,LADC4 - 530 W 6th St,530 W 6th St,0.59,,0.0,1.0,0.0,1.0,0.148,[]|['ladc4']
epa_nei,16069311,TATA COMMUNICATIONS [AMERICA] INC,1100 SPACE PARK DRIVE,epa_nei,9991911,"1100 SPACE PARK, LLC",1100 SPACE PARK DRIVE,0.586,,6.4,1.0,0.0,1.0,0.128,[]|[]
peeringdb,4681,Digital Realty SJC (1500 Space Park Dr),1500 Space Park Drive,epa_nei,19650011,"CYXTERA COMMUNICATIONS, LLC",1500 SPACE PARK DRIVE,0.585,,94.8,0.963,0.0,1.0,0.19,[]|[]
osm,way/40608200,Cologix Santa Clara SV1 Data Center,2050 Martin Avenue,peeringdb,1513,Bay Area Internet,2050 Martin Ave,0.585,,11.4,1.0,0.0,1.0,0.125,['sv1']|[]
peeringdb,1513,Bay Area Internet,2050 Martin Ave,peeringdb,11633,Cologix SV1,2050 Martin Ave,0.585,,0.0,1.0,0.0,1.0,0.125,[]|['sv1']
osm,way/428021816,One Wilshire,624 South Grand Avenue,peeringdb,10932,DataBank Los Angeles (LAX1),624 S Grand Ave,0.58,,18.4,1.0,0.0,1.0,0.1,[]|['lax1']
peeringdb,2782,Multacom One Wilshire,624 S Grand Ave,peeringdb,5775,Crown Castle Los Angeles (624 S Grand),"624 South Grand Ave, Suite 1207",0.58,,19.0,1.0,0.0,1.0,0.1,[]|[]
peeringdb,8867,CoreSite - Santa Clara (SV8),3045 Stender Way,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.579,,436.6,0.599,0.167,0.615,1.0,['sv8']|[]
peeringdb,8,Equinix LA1 - Los Angeles,600 W 7th St,peeringdb,403,Digital Realty LAX (600 W 7th),600 West 7th Street,0.579,,23.0,1.0,0.0,1.0,0.095,['la1']|[]
peeringdb,22,JMA NAC Los Angeles,530 West 6th Street,peeringdb,6426,ColoCrossing LA1,530 W. 6th Street,0.579,,13.9,1.0,0.0,1.0,0.095,[]|['la1']
peeringdb,799,LightEdge San Diego 1 (SAN1),9305 Lightwave Ave,epa_nei,15974411,AMERICAN INTERNET SERVICES INC,9305 LIGHTWAVE AV,0.579,,121.2,0.935,0.0,1.0,0.205,['san1']|[]
osm,way/1351049826,DataBank Santa Clara SFO1,5101 Lafayette Street,epa_nei,19662311,"ZAYO GROUP, LLC",5101 LAFAYETTE STREET,0.577,,11.2,1.0,0.0,1.0,0.087,['sfo1']|[]
peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,peeringdb,6426,ColoCrossing LA1,530 W. 6th Street,0.577,,13.9,1.0,0.0,1.0,0.087,[]|['la1']
peeringdb,10931,DataBank Santa Clara (SFO1),5101 Lafayette St,epa_nei,19662311,"ZAYO GROUP, LLC",5101 LAFAYETTE STREET,0.577,,0.0,1.0,0.0,1.0,0.087,['sfo1']|[]
peeringdb,5439,ServerFarm SC1,5101 Lafayette Street,epa_nei,19662311,"ZAYO GROUP, LLC",5101 LAFAYETTE STREET,0.576,,0.0,1.0,0.0,1.0,0.08,['sc1']|[]
peeringdb,642,Telecom Center LA,530 West 6th Street,peeringdb,3012,UnitedLayer Los Angeles,530 W 6th Street,0.574,,0.0,1.0,0.0,1.0,0.071,[]|[]
osm,way/31800424,LightEdge SAN1,9305 Lightwave Avenue,epa_nei,15974411,AMERICAN INTERNET SERVICES INC,9305 LIGHTWAVE AV,0.571,,143.1,0.912,0.0,1.0,0.205,['san1']|[]
osm,way/224174031,SV Colo,Richard Avenue,peeringdb,2427,EdgeConneX Santa Clara (EDCSVC01/EDCSVC02),1700 Richard Avenue,0.566,,8.8,1.0,0.0,0.815,0.235,[]|[]
osm,way/428021816,One Wilshire,624 South Grand Avenue,osm,way/495115494,,624 South Grand Avenue,0.56,,3.3,1.0,0.0,1.0,0.0,[]|[]
osm,way/451413811,,150 South 1st Street,epa_nei,15734311,DATAPIPE INC,150 SO 1ST STREET,0.56,,39.9,1.0,0.0,1.0,0.0,[]|[]
osm,way/451413811,,150 South 1st Street,peeringdb,2973,DataPipe Silicon Valley One,150 S 1st St,0.56,,9.1,1.0,0.0,1.0,0.0,[]|[]
osm,way/495115494,,624 South Grand Avenue,peeringdb,19,CoreSite - Los Angeles (LA1) One Wilshire,624 S. Grand Ave.,0.56,,3.0,1.0,0.0,1.0,0.0,[]|['la1']
osm,way/495115494,,624 South Grand Avenue,peeringdb,2782,Multacom One Wilshire,624 S Grand Ave,0.56,,3.0,1.0,0.0,1.0,0.0,[]|[]
osm,way/495115494,,624 South Grand Avenue,peeringdb,10932,DataBank Los Angeles (LAX1),624 S Grand Ave,0.56,,19.8,1.0,0.0,1.0,0.0,[]|['lax1']
osm,way/495115494,,624 South Grand Avenue,peeringdb,5775,Crown Castle Los Angeles (624 S Grand),"624 South Grand Ave, Suite 1207",0.56,,19.8,1.0,0.0,1.0,0.0,[]|[]
osm,way/495115494,,624 South Grand Avenue,peeringdb,3421,LADC1 - 624 S Grand Ave,624 S Grand Ave,0.56,,19.8,1.0,0.0,1.0,0.0,[]|['ladc1']
osm,way/224174031,SV Colo,Richard Avenue,epa_nei,18602711,"EDGECONNEX SILICON VALLEY HOLDINGS, LLC",1700 RICHARD AVENUE,0.553,,96.9,0.961,0.0,0.815,0.235,[]|[]
epa_nei,19288411,FACEBOOK INC,FREMONT CAMPUS,epa_nei,19267511,FACEBOOK,6422 COMMERCE DRIVE,0.549,,819.0,0.193,1.0,0.2,1.0,[]|[]
epa_nei,14248811,GOOGLE LLC,"MOUNTAIN, VIEW CAMPUS",epa_nei,19508311,GOOGLE LLC,1625 PLYMOUTH ST,0.545,,913.0,0.093,1.0,0.333,1.0,[]|[]
epa_nei,19640111,FACEBOOK,1080 HAMILTON COURT,epa_nei,16010311,"FACEBOOK, INC",FACEBOOK CAMPUS,0.542,,834.7,0.176,1.0,0.194,1.0,[]|[]
epa_nei,18199311,FACEBOOK,JEFFERSON DRIVE,epa_nei,19640211,FACEBOOK MPK61,150 INDEPENDENCE DR,0.539,,631.3,0.392,0.5,0.387,1.0,[]|['mpk61']
osm,way/1075445245,,2220 De La Cruz Boulevard,peeringdb,1101,Digital Realty SJC (2220 De La Cruz Blvd),2220 De La Cruz Blvd,0.528,,147.3,0.907,0.0,1.0,0.0,[]|[]
osm,way/54383197,CoreSite SV9,,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.526,,265.3,0.782,0.25,0.0,1.0,['sv9']|[]
osm,way/38305611,Vantage,,epa_nei,16012811,"VANTAGE DATA CENTERS MANAGEMENT CO , LLC",2625 WALSH AVENUE,0.516,,348.3,0.693,0.333,0.0,1.0,[]|[]
osm,way/205846843,CoreSite SV4,,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.509,,310.2,0.734,0.25,0.0,1.0,['sv4']|[]
osm,way/54173753,CoreSite SV6,,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.505,,323.9,0.719,0.25,0.0,1.0,['sv6']|[]
epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,epa_nei,18609111,"AMAZON DATA SERVICES, INC.",2950 STENDER WAY,0.503,,106.9,0.95,0.0,0.615,0.222,[]|[]
osm,way/1160688107,CoreSite SV7,,epa_nei,15709911,CORESITE REAL ESTATE,CORONADO DR & STENDER WAY,0.501,,335.0,0.707,0.25,0.0,1.0,['sv7']|[]
